PlantID,Treatment,T1_strain,T2_strain,Block,Leaf1,Leaf2,Leaf3,Leaf4,Dead1,Dead2,Dead3,Dead4,ExtraNN,Notes,Pink_nod_num,White_nod_num,Total_nod_num,Proportion_pink_count,Proportion_pink,Above_biomass,Leaf4attached,LeafWeightAprox
140,BG,B,G,1,2,2,4,7,0,0,0,0,0,0,4,3,7,  4/7 ,0.571428571,0.0124,4,0.0031
141,BN,B,N,2,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
142,NG,N,G,2,2,3,4,7,0,0,0,0,0,0,8,0,8,1,1,0.0227,,
143,BG,B,G,2,1,2,2,4,0,0,0,0,0,0,0,2,2,0,0,0.0026,1,0.0026
144,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
145,NN,N,N,2,2,3,4,7,0,0,0,0,0,0,18,0,18,1,1,0.0309,6,0.00515
146,GG,G,G,2,2,2,4,5,0,0,0,0,0,0,5,0,5,1,1,0.0063,4,0.001575
147,NB,N,B,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
148,NB,N,B,2,2,2,3,4,0,0,0,0,0,0,0,2,2,0,0,0.005,2,0.0025
149,GN,G,N,2,2,3,4,7,0,0,0,0,0,0,6,0,6,1,1,0.0148,3,0.004933333
150,BN,B,N,2,2,3,4,6,0,0,0,0,0,0,10,5,15,  2/3 ,0.666666667,0.0111,4,0.002775
151,BB,B,B,2,2,3,4,5,0,0,0,0,0,0,2,1,3,  2/3 ,0.666666667,0.0092,2,0.0046
152,GN,G,N,2,2,2,3,4,0,0,0,0,0,0,4,0,4,1,1,0.0046,2,0.0023
153,NN,N,N,2,2,2,4,6,0,0,0,0,1,0,1,0,1,1,1,0.0199,6,0.003316667
154,BG,B,G,2,2,3,4,6,0,0,0,0,0,0,16,9,25, 16/25,0.64,0.0084,3,0.0028
155,NG,N,G,2,2,3,3,5,0,0,0,0,0,0,4,0,4,1,1,0.0061,3,0.002033333
156,BG,B,G,2,2,2,4,6,0,0,0,0,0,0,2,4,6,  1/3 ,0.333333333,0.0135,4,0.003375
157,NG,N,G,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
158,GN,G,N,2,1,2,3,4,0,0,0,0,0,0,4,0,4,1,1,0.0044,3,0.001466667
159,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
160,GB,G,B,2,2,2,4,6,0,0,0,0,0,0,7,2,9,  7/9 ,0.777777778,0.0299,5,0.00598
161,NN,N,N,2,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
162,GN,G,N,2,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
163,NB,N,B,2,2,2,2,5,0,0,0,0,0,0,3,2,5,  3/5 ,0.6,0.0058,2,0.0029
