PlantID,Treatment,T1_strain,T2_strain,Block,Leaf1,Leaf2,Leaf3,Leaf4,Dead1,Dead2,Dead3,Dead4,ExtraNN,Notes,Pink_nod_num,White_nod_num,Total_nod_num,Proportion_pink_count,Proportion_pink,Above_biomass,Leaf4attached,LeafWeightAprox
56,NN,N,N,1,0,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,,,
57,NB,N,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
58,BG,B,G,1,2,3,4,5,0,0,0,0,0,0,4,1,5,  4/5 ,0.8,0.0107,3,0.003566667
59,BN,B,N,1,2,3,4,5,0,0,0,0,0,0,6,19,25,  6/25,0.24,0.0205,4,0.005125
60,GN,G,N,1,2,3,3,6,0,0,0,0,0,0,10,0,10,1,1,0.0171,4,0.004275
61,GG,G,G,1,2,2,2,2,0,1,1,1,0,0,NA,NA,NA,NA,NA,,,
62,NB,N,B,1,2,2,3,4,0,0,0,0,0,0,2,2,4,  1/2 ,0.5,0.004,2,0.002
63,GB,G,B,1,2,3,5,7,0,0,0,0,0,0,8,0,8,1,1,0.0242,6,0.004033333
64,NG,N,G,1,2,3,5,7,0,0,0,0,0,0,12,0,12,1,1,0.0152,4,0.0038
65,BG,B,G,1,2,2,2,3,0,0,0,0,0,0,3,2,5,  3/5 ,0.6,0.0012,1,0.0012
66,NG,N,G,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
67,GN,G,N,1,2,4,5,6,0,0,0,0,0,0,7,0,7,1,1,0.0116,1,0.0116
68,NB,N,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
69,BB,B,B,1,2,3,3,5,0,0,0,0,0,0,0,1,1,0,0,0.0101,4,0.002525
70,GB,G,B,1,2,2,4,5,0,0,0,0,0,0,4,0,4,1,1,0.0043,2,0.00215
71,NB,N,B,1,2,3,4,6,0,0,0,0,0,0,1,3,4,  1/4 ,0.25,0.0103,3,0.003433333
72,BG,B,G,1,2,2,4,6,0,0,0,0,0,0,6,1,7,  6/7 ,0.857142857,0.01,3,0.003333333
73,GG,G,G,1,2,3,3,3,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
74,NG,N,G,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
75,BB,B,B,1,2,3,4,6,0,0,0,0,0,0,13,16,29, 13/29,0.448275862,0.0132,4,0.0033
76,NG,N,G,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
77,BG,B,G,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,,,
78,NB,N,B,1,0,0,0,0,1,1,1,1,0,NEW COLONIZER WITH 4LEAVES,NA,NA,NA,NA,NA,,,
79,BN,B,N,1,2,3,3,5,0,0,0,0,0,0,1,5,6,  1/6 ,0.166666667,0.0082,2,0.0041
80,BN,B,N,1,1,2,3,5,0,0,0,0,0,0,4,5,9,  4/9 ,0.444444444,0.0165,4,0.004125
81,NN,N,N,1,1,2,4,6,0,0,0,0,0,0,4,0,4,1,1,0.0189,4,0.004725
82,GN,G,N,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
83,BN,B,N,1,2,2,3,3,0,0,0,1,0,HERBIVORY,0,2,2,0,0,,,
84,GB,G,B,1,2,3,4,7,0,0,0,0,0,0,9,4,13,  9/13,0.692307692,0.0187,5,0.00374
85,NN,N,N,1,0,0,0,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,,,
86,BN,B,N,1,2,3,4,5,0,0,0,0,0,0,3,5,8,  3/8 ,0.375,0.0118,4,0.00295
87,GG,G,G,1,2,3,4,6,0,0,0,0,0,0,6,0,6,1,1,0.0167,4,0.004175
88,BB,B,B,1,2,2,2,2,0,1,1,1,0,0,0,1,1,0,0,,,
89,BB,B,B,1,2,2,2,2,0,0,1,1,0,0,NA,NA,NA,NA,NA,,,
90,BB,B,B,1,1,3,4,5,0,0,0,0,0,0,1,4,5,  1/5 ,0.2,0.0035,2,0.00175
91,GG,G,G,1,2,3,4,5,0,0,0,0,0,0,7,0,7,1,1,0.0171,4,0.004275
92,NB,N,B,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,,,
